|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.ships|3|3.buoys|3.ships|4|4.ships|nreports|nreports.buoys|nreports.ships
1851-01-01|250|0|250|30.0|0|30.0|0|0|30.0|0|30.0|0|0|310|0|310
1851-02-01|148|0|148|5.0|0|5.0|0|0|5.0|0|5.0|0|0|158|0|158
1851-03-01|162|0|162|18.0|0|18.0|0|0|18.0|0|18.0|0|0|198|0|198
1851-04-01|202|0|202|0|0|0|0|0|0|0|0|0|0|202|0|202
1851-05-01|182|0|182|18.0|0|18.0|0|0|18.0|0|18.0|0|0|218|0|218
1851-06-01|225|0|225|28.0|0|28.0|0|0|28.0|0|28.0|0|0|281|0|281
1851-07-01|207|0|207|26.0|0|26.0|0|0|26.0|0|26.0|0|0|259|0|259
1851-08-01|328|0|328|27.0|0|27.0|0|0|27.0|0|27.0|0|0|382|0|382
1851-09-01|409|0|409|18.0|0|18.0|0|0|18.0|0|18.0|0|0|445|0|445
1851-10-01|291|0|291|0|0|0|0|0|0|0|0|0|0|291|0|291
1851-11-01|268|0|268|0|0|0|0|0|0|0|0|0|0|268|0|268
1851-12-01|222|0|222|0|0|0|0|0|0|0|0|0|0|222|0|222
1852-01-01|140|0|140|0|0|0|0|0|0|0|0|0|0|140|0|140
1852-02-01|154|0|154|0|0|0|0|0|0|0|0|0|0|154|0|154
1852-03-01|257|0|257|0|0|0|0|0|0|0|0|0|0|257|0|257
1852-04-01|311|0|311|0|0|0|0|0|0|0|0|0|0|311|0|311
1852-05-01|286|0|286|0|0|0|0|0|0|0|0|0|0|286|0|286
1852-06-01|356|0|356|0|0|0|0|0|0|0|0|0|0|356|0|356
1852-07-01|190|0|190|0|0|0|0|0|0|0|0|0|0|190|0|190
1852-08-01|214|0|214|0|0|0|0|0|0|0|0|0|0|214|0|214
1852-09-01|228|0|228|0|0|0|0|0|0|0|0|0|0|228|0|228
1852-10-01|327|0|327|0|0|0|0|0|0|0|0|0|0|327|0|327
1852-11-01|429|0|429|0|0|0|0|0|0|0|0|0|0|429|0|429
1852-12-01|485|0|485|0|0|0|0|0|0|0|0|0|0|485|0|485
1853-01-01|522|0|522|0|0|0|0|0|0|0|0|0|0|522|0|522
1853-02-01|583|0|583|4.0|0|4.0|0|0|4.0|0|4.0|0|0|591|0|591
1853-03-01|639|0|639|30.0|0|30.0|0|0|30.0|0|30.0|0|0|699|0|699
1853-04-01|738|0|738|28.0|0|28.0|0|0|28.0|0|28.0|0|0|794|0|794
1853-05-01|923|0|923|27.0|0|27.0|0|0|27.0|0|27.0|0|0|977|0|977
1853-06-01|881|0|881|12.0|0|12.0|0|0|12.0|0|12.0|0|0|905|0|905
1853-07-01|1055|0|1055|8.0|0|8.0|0|0|8.0|0|8.0|0|0|1071|0|1071
1853-08-01|1141|0|1141|17.0|0|17.0|0|0|17.0|0|17.0|0|0|1175|0|1175
1853-09-01|1633|0|1633|1.0|0|1.0|0|0|1.0|0|1.0|0|0|1635|0|1635
1853-10-01|1862|0|1862|15.0|0|15.0|0|0|15.0|0|15.0|0|0|1892|0|1892
1853-11-01|1626|0|1626|26.0|0|26.0|0|0|26.0|0|26.0|0|0|1678|0|1678
1853-12-01|1981|0|1981|27.0|0|27.0|0|0|27.0|0|27.0|0|0|2035|0|2035
1854-01-01|1248|0|1248|0|0|0|0|0|0|0|0|0|0|1248|0|1248
1854-02-01|1000|0|1000|23.0|0|23.0|0|0|23.0|0|23.0|0|0|1046|0|1046
1854-03-01|1984|0|1984|11.0|0|11.0|0|0|11.0|0|11.0|0|0|2006|0|2006
1854-04-01|3021|0|3021|56.0|0|56.0|0|0|56.0|0|56.0|0|0|3133|0|3133
1854-05-01|4233|0|4233|21.0|0|21.0|0|0|21.0|0|21.0|0|0|4275|0|4275
1854-06-01|5720|0|5720|0|0|0|0|0|0|0|0|0|0|5720|0|5720
1854-07-01|7233|0|7233|1.0|0|1.0|0|0|1.0|0|1.0|0|0|7235|0|7235
1854-08-01|8763|0|8763|193.0|0|193.0|0|0|338.0|0|338.0|0|0|9294|0|9294
1854-09-01|9574|0|9574|150.0|0|150.0|0|0|210.0|0|210.0|0|0|9934|0|9934
1854-10-01|10018|0|10018|0|0|0|0|0|0|0|0|0|0|10018|0|10018
1854-11-01|11221|0|11221|146.0|0|146.0|0|0|141.0|0|141.0|0|0|11508|0|11508
1854-12-01|13200|0|13200|99.0|0|99.0|0|0|99.0|0|99.0|0|0|13398|0|13398
1855-01-01|13850|0|13850|106.0|0|106.0|0|0|106.0|0|106.0|57.0|57.0|14119|0|14119
1855-02-01|13083|0|13083|103.0|0|103.0|0|0|103.0|0|103.0|57.0|57.0|13346|0|13346
1855-03-01|12561|0|12561|87.0|0|87.0|0|0|87.0|0|87.0|0|0|12735|0|12735
1855-04-01|13152|0|13152|330.0|0|330.0|0|0|330.0|0|330.0|0|0|13812|0|13812
1855-05-01|13029|0|13029|72.0|0|72.0|0|0|72.0|0|72.0|0|0|13173|0|13173
1855-06-01|14785|0|14785|5.0|0|5.0|0|0|5.0|0|5.0|0|0|14795|0|14795
1855-07-01|16647|0|16647|31.0|0|31.0|0|0|30.0|0|30.0|0|0|16708|0|16708
1855-08-01|16353|0|16353|225.0|0|225.0|0|0|225.0|0|225.0|0|0|16803|0|16803
1855-09-01|16269|0|16269|28.0|0|28.0|0|0|28.0|0|28.0|0|0|16325|0|16325
1855-10-01|17019|0|17019|106.0|0|106.0|0|0|107.0|0|107.0|0|0|17232|0|17232
1855-11-01|16856|0|16856|150.0|0|150.0|0|0|150.0|0|150.0|0|0|17156|0|17156
1855-12-01|18107|0|18107|91.0|0|91.0|0|0|90.0|0|90.0|0|0|18288|0|18288
1856-01-01|16417|0|16417|342.0|0|342.0|0|0|343.0|0|343.0|78.0|78.0|17180|0|17180
1856-02-01|16688|0|16688|303.0|0|303.0|0|0|303.0|0|303.0|0|0|17294|0|17294
1856-03-01|19623|0|19623|105.0|0|105.0|0|0|105.0|0|105.0|0|0|19833|0|19833
1856-04-01|17710|0|17710|94.0|0|94.0|0|0|94.0|0|94.0|0|0|17898|0|17898
1856-05-01|17843|0|17843|59.0|0|59.0|0|0|58.0|0|58.0|0|0|17960|0|17960
1856-06-01|18442|0|18442|27.0|0|27.0|0|0|26.0|0|26.0|0|0|18495|0|18495
1856-07-01|17481|0|17481|174.0|0|174.0|0|0|172.0|0|172.0|0|0|17827|0|17827
1856-08-01|17964|0|17964|186.0|0|186.0|0|0|185.0|0|185.0|0|0|18335|0|18335
1856-09-01|16329|0|16329|9.0|0|9.0|0|0|9.0|0|9.0|0|0|16347|0|16347
1856-10-01|17358|0|17358|11.0|0|11.0|0|0|9.0|0|9.0|0|0|17378|0|17378
1856-11-01|18404|0|18404|5.0|0|5.0|0|0|5.0|0|5.0|0|0|18414|0|18414
1856-12-01|19155|0|19155|2.0|0|2.0|0|0|2.0|0|2.0|0|0|19159|0|19159
1857-01-01|18562|0|18562|65.0|0|65.0|0|0|66.0|0|66.0|23.0|23.0|18716|0|18716
1857-02-01|16227|0|16227|4.0|0|4.0|0|0|4.0|0|4.0|0|0|16235|0|16235
1857-03-01|18087|0|18087|27.0|0|27.0|0|0|27.0|0|27.0|0|0|18141|0|18141
1857-04-01|18102|0|18102|62.0|0|62.0|0|0|62.0|0|62.0|0|0|18226|0|18226
1857-05-01|21318|0|21318|13.0|0|13.0|0|0|12.0|0|12.0|0|0|21343|0|21343
1857-06-01|20336|0|20336|142.0|0|142.0|0|0|140.0|0|140.0|0|0|20618|0|20618
1857-07-01|20470|0|20470|41.0|0|41.0|0|0|41.0|0|41.0|0|0|20552|0|20552
1857-08-01|19442|0|19442|108.0|0|108.0|0|0|110.0|0|110.0|36.0|36.0|19696|0|19696
1857-09-01|19610|0|19610|12.0|0|12.0|0|0|11.0|0|11.0|49.0|49.0|19682|0|19682
