|0|0.buoys|0.ships|1|1.buoys|1.ships|2|2.buoys|2.ships|nreports|nreports.buoys|nreports.ships
1851-01-01|267|0|267|24.0|0|24.0|4238.0|0|4238.0|4529|0|4529
1851-02-01|137|0|137|16.0|0|16.0|3585.0|0|3585.0|3738|0|3738
1851-03-01|172|0|172|8.0|0|8.0|3587.0|0|3587.0|3767|0|3767
1851-04-01|195|0|195|7.0|0|7.0|3296.0|0|3296.0|3498|0|3498
1851-05-01|200|0|200|0|0|0|3392.0|0|3392.0|3592|0|3592
1851-06-01|249|0|249|4.0|0|4.0|3066.0|0|3066.0|3319|0|3319
1851-07-01|227|0|227|26.0|0|26.0|3305.0|0|3305.0|3558|0|3558
1851-08-01|197|0|197|7.0|0|7.0|3347.0|0|3347.0|3551|0|3551
1851-09-01|254|0|254|4.0|0|4.0|3170.0|0|3170.0|3428|0|3428
1851-10-01|286|0|286|18.0|0|18.0|2902.0|0|2902.0|3206|0|3206
1851-11-01|262|0|262|8.0|0|8.0|2710.0|0|2710.0|2980|0|2980
1851-12-01|218|0|218|5.0|0|5.0|3122.0|0|3122.0|3345|0|3345
1852-01-01|139|0|139|5.0|0|5.0|3512.0|0|3512.0|3656|0|3656
1852-02-01|152|0|152|3.0|0|3.0|3233.0|0|3233.0|3388|0|3388
1852-03-01|255|0|255|8.0|0|8.0|3423.0|0|3423.0|3686|0|3686
1852-04-01|294|0|294|28.0|0|28.0|3613.0|0|3613.0|3935|0|3935
1852-05-01|277|0|277|10.0|0|10.0|3699.0|0|3699.0|3986|0|3986
1852-06-01|338|0|338|19.0|0|19.0|3893.0|0|3893.0|4250|0|4250
1852-07-01|176|0|176|27.0|0|27.0|3816.0|0|3816.0|4019|0|4019
1852-08-01|213|0|213|6.0|0|6.0|3684.0|0|3684.0|3903|0|3903
1852-09-01|220|0|220|9.0|0|9.0|3510.0|0|3510.0|3739|0|3739
1852-10-01|316|0|316|11.0|0|11.0|3953.0|0|3953.0|4280|0|4280
1852-11-01|384|0|384|46.0|0|46.0|4101.0|0|4101.0|4531|0|4531
1852-12-01|430|0|430|60.0|0|60.0|3803.0|0|3803.0|4293|0|4293
1853-01-01|473|0|473|49.0|0|49.0|4060.0|0|4060.0|4582|0|4582
1853-02-01|529|0|529|81.0|0|81.0|3941.0|0|3941.0|4551|0|4551
1853-03-01|556|0|556|167.0|0|167.0|4509.0|0|4509.0|5232|0|5232
1853-04-01|649|0|649|164.0|0|164.0|4311.0|0|4311.0|5124|0|5124
1853-05-01|746|0|746|240.0|0|240.0|4710.0|0|4710.0|5696|0|5696
1853-06-01|690|0|690|236.0|0|236.0|4575.0|0|4575.0|5501|0|5501
1853-07-01|844|0|844|272.0|0|272.0|4701.0|0|4701.0|5817|0|5817
1853-08-01|921|0|921|296.0|0|296.0|4428.0|0|4428.0|5645|0|5645
1853-09-01|1205|0|1205|520.0|0|520.0|4018.0|0|4018.0|5743|0|5743
1853-10-01|1375|0|1375|642.0|0|642.0|4054.0|0|4054.0|6071|0|6071
